English Word	Valence	Arousal	Dominance	Hebrew Word
abruptly	0.250	0.808	0.556	פִּתְאוֹם
abscess	0.154	0.451	0.349	מוּרְסָה
absence	0.153	0.235	0.266	הֶעְדֵר
absent	0.177	0.221	0.116	נֶעדָר
absentee	0.235	0.330	0.279	נִפקָד
absenteeism	0.404	0.273	0.357	הֵעָדְרוּת
absinthe	0.481	0.510	0.462	אַבְּסִינְתְ
absolute	0.526	0.510	0.827	מוּחלָט
absolution	0.715	0.500	0.664	מְחִילָה
absolve	0.684	0.449	0.660	לִפְטוֹר
absorb	0.469	0.558	0.670	לִסְפּוֹג
absorbed	0.490	0.471	0.519	ספג
absorbent	0.552	0.394	0.718	סוֹפֵג
absorbing	0.490	0.490	0.578	מְרַתֵק
absorption	0.609	0.422	0.446	קְלִיטָה
abstain	0.385	0.385	0.427	לְהִתְנַזֵר
abstention	0.271	0.264	0.509	הִתנַזְרוּת
abstinence	0.260	0.392	0.429	פְּרִישׁוּת
abstract	0.438	0.292	0.444	תַקצִיר
abstraction	0.469	0.439	0.525	הַפשָׁטָה
absurd	0.188	0.656	0.284	אַבּסוּרדִי
absurdity	0.115	0.528	0.227	אַבּסוּרדִיוּת
abundance	0.812	0.690	0.852	שפע
abundant	0.958	0.590	0.760	שׁוֹפֵעַ
abuse	0.071	0.873	0.469	התעללות
abused	0.021	0.874	0.235	התעללו
abusive	0.125	0.903	0.567	מַעֲלִיב
abutment	0.500	0.265	0.616	סמוך
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	תְהוֹמִי
abyss	0.353	0.725	0.296	תהום
academic	0.781	0.420	0.812	אקדמי
academy	0.704	0.473	0.792	אֲקָדֶמִיָה
accede	0.698	0.510	0.537	לְהַסכִּים
accelerant	0.643	0.844	0.802	מאיץ
accelerate	0.615	0.902	0.759	להאיץ
accelerated	0.610	0.812	0.682	מוּאָץ
acceleration	0.704	0.905	0.843	תְאוּצָה
accelerator	0.593	0.830	0.812	מֵאִיץ
accent	0.598	0.357	0.509	מִבטָא
accentuate	0.673	0.556	0.667	לְהַדגִישׁ
accept	0.847	0.286	0.565	לְקַבֵּל
acceptable	0.812	0.286	0.583	קָבִיל
acceptance	0.833	0.287	0.755	קַבָּלָה
acceptances	0.847	0.413	0.648	קבלות
access	0.714	0.472	0.567	גִישָׁה
accessible	0.796	0.410	0.645	נגיש
accession	0.612	0.383	0.636	הִצטָרְפוּת
accessory	0.562	0.292	0.445	אבזר
accident	0.125	0.908	0.336	תְאוּנָה
accidental	0.319	0.784	0.307	מִקרִי
accidentally	0.333	0.741	0.333	בטעות
acclaim	0.562	0.809	0.718	תְשׁוּאוֹת
accolade	0.688	0.591	0.775	לשבח
accommodate	0.844	0.375	0.566	להתאים
accommodation	0.817	0.415	0.587	דִיוּר
accompaniment	0.740	0.479	0.695	לִוּוּי
accompany	0.833	0.406	0.585	ללוות
accompanying	0.787	0.460	0.582	מתלווה
accomplice	0.408	0.580	0.510	שׁוּתָף
accomplish	0.929	0.673	0.816	לְהַשִׂיג
accomplished	0.870	0.520	0.798	השיג
accomplishment	0.917	0.694	0.888	הישג
accord	0.898	0.264	0.382	הֶסכֵּם
accordance	0.659	0.349	0.600	בהתאם
accordion	0.604	0.490	0.361	אַקוֹרדִיוֹן
account	0.531	0.347	0.472	חֶשְׁבּוֹן
accountability	0.755	0.537	0.833	אחריות
accountable	0.709	0.282	0.777	אַחֲרַאִי
accountant	0.625	0.450	0.639	רואת חשבון
accounting	0.552	0.390	0.677	ראיית חשבון
accounts	0.592	0.340	0.471	חשבונות
accredited	0.669	0.479	0.768	מוסמכת
accretion	0.448	0.519	0.672	הִצטַבְּרוּת
accrue	0.520	0.481	0.602	לצבור
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	לִצְבּוֹר
accumulation	0.479	0.527	0.600	הצטברות
accuracy	0.604	0.481	0.802	דיוק
accurate	0.743	0.360	0.737	מְדוּיָק
accursed	0.135	0.745	0.345	אָרוּר
accusation	0.073	0.718	0.564	הַאֲשָׁמָה
accusative	0.198	0.755	0.482	מאשים
accuse	0.133	0.752	0.500	לְהַאֲשִׁים
accused	0.130	0.670	0.420	מואשם
accuser	0.122	0.779	0.615	מַאֲשִׁים
accusing	0.156	0.745	0.324	מאשים
accustomed	0.542	0.365	0.441	רָגִיל
ace	0.643	0.481	0.546	אֵס
acetic	0.333	0.420	0.519	אצטית
acetylene	0.306	0.469	0.509	אֲצֵיטִילֵן
ache	0.146	0.760	0.312	כְּאֵב
achieve	0.816	0.545	0.843	לְהַשִׂיג
achieved	0.896	0.519	0.775	הושג
achievement	0.896	0.808	0.759	הֶשֵׂג
aching	0.053	0.880	0.348	כּוֹאֵב
achy	0.167	0.840	0.373	כואב
acid	0.265	0.642	0.566	חוּמצָה
acidity	0.156	0.663	0.360	חוּמצִיוּת
acknowledge	0.786	0.370	0.661	לְהוֹדוֹת
acknowledged	0.714	0.443	0.765	הודה
acknowledgement	0.819	0.539	0.830	הכרה
acknowledgment	0.796	0.528	0.777	הכרה
acme	0.408	0.435	0.375	שִׂיא
acne	0.167	0.474	0.308	אקנה
acorn	0.448	0.198	0.192	בַּלוּט
acoustic	0.542	0.462	0.536	אֲקוּסְטִי
acoustics	0.611	0.330	0.509	אֲקוּסְטִיקָה
acquaint	0.646	0.491	0.639	להכיר
acquaintance	0.656	0.290	0.670	הֶכֵּרוּת
acquainted	0.906	0.358	0.632	להכיר
acquiescence	0.542	0.480	0.554	הסכמה
acquire	0.833	0.468	0.700	לִרְכּוֹשׁ
acquiring	0.735	0.510	0.817	רוכש
acquisition	0.698	0.509	0.736	רְכִישָׁה
acquisitions	0.773	0.660	0.790	רכישות
acquit	0.583	0.571	0.611	לִזכּוֹת
acquittal	0.760	0.497	0.700	זיכוי
acre	0.583	0.387	0.423	אַקְר
acreage	0.741	0.450	0.528	שטח
acres	0.510	0.363	0.500	דונם
acrobat	0.708	0.828	0.602	אַקרוֹבָּט
acrylic	0.582	0.279	0.420	אַקרִילִי
act	0.656	0.704	0.735	פעולה
acting	0.698	0.643	0.500	משחק
action	0.760	0.898	0.802	פעולה
action figure	0.615	0.774	0.611	דמות פעולה
actionable	0.673	0.702	0.613	ניתן לפעולה
activate	0.764	0.650	0.806	לְהַפְעִיל
activation	0.781	0.800	0.754	הַפעָלָה
active	0.847	0.730	0.731	פָּעִיל
activist	0.531	0.653	0.877	אקטיביסט
activity	0.701	0.660	0.807	פעילות
actor	0.653	0.561	0.629	שַׂחְקָן
actress	0.633	0.556	0.596	שַׂחְקָנִית
actual	0.729	0.400	0.716	מַמָשִׁי
actuality	0.750	0.464	0.600	מְצִיאוּת
actuary	0.510	0.404	0.491	אַקטוּאָר
acuity	0.469	0.378	0.741	חדות
acumen	0.564	0.660	0.679	חוכמה
acupuncture	0.531	0.324	0.549	אַקוּפּוּנקטוּרָה
acute	0.427	0.652	0.534	חַד
acutely	0.417	0.543	0.491	למעשה
ad	0.521	0.705	0.558	מוֹדָעָה
adage	0.517	0.415	0.566	פִּתגָם
adamant	0.344	0.529	0.575	נחוש
adapt	0.740	0.355	0.551	לְהִסְתָגֵל
adaptable	0.735	0.423	0.641	סָגִיל
adaptation	0.663	0.365	0.609	הִסתַגְלוּת
add	0.728	0.490	0.554	לְהוֹסִיף
added	0.562	0.405	0.509	הוסיף
addendum	0.392	0.370	0.418	תוֹסֶפֶת
adder	0.388	0.461	0.588	פֶּתֶן
addict	0.075	0.696	0.327	מָכוּר
addicted	0.156	0.712	0.483	מָכוּר
addiction	0.180	0.806	0.420	הִתמַכְּרוּת
addictive	0.302	0.683	0.472	ממכר
addition	0.562	0.373	0.471	חיבור
additional	0.673	0.462	0.526	נוֹסָף
additive	0.561	0.633	0.691	תוסף
address	0.650	0.327	0.567	כתובת
addressee	0.622	0.382	0.538	נִמעָן
addresses	0.510	0.354	0.450	כתובות
adept	0.594	0.539	0.789	מְיוּמָן
adequacy	0.615	0.435	0.702	הלימות
adequate	0.854	0.264	0.705	נאות
adhere	0.633	0.339	0.554	לִדבּוֹק
adherence	0.760	0.307	0.630	דְבֵקוּת
adherent	0.561	0.385	0.555	חָסִיד
adhering	0.612	0.561	0.537	דבקות
adhesion	0.521	0.445	0.586	הַדבָּקָה
adhesive	0.604	0.350	0.413	דבק
adieu	0.250	0.471	0.342	adieu
adipose	0.333	0.350	0.391	שומני
adjacency	0.365	0.417	0.375	סמיכות
adjacent	0.645	0.276	0.536	סמוך
adjective	0.570	0.316	0.569	תוֹאַר
adjoining	0.520	0.400	0.393	צמודים
adjourn	0.385	0.456	0.475	לִדחוֹת
adjournment	0.438	0.510	0.370	דְחִיָה
adjudicate	0.559	0.520	0.683	לִפְסוֹק
adjudication	0.551	0.462	0.691	שְׁפִיטָה
adjunct	0.459	0.440	0.426	תוספת
adjust	0.647	0.327	0.638	לְהַתְאִים
adjuster	0.510	0.540	0.760	מכוון
adjustment	0.590	0.520	0.661	התאמה
adjuvant	0.510	0.500	0.456	אדג'ובנט
admin	0.688	0.420	0.854	מנהל
administer	0.635	0.425	0.860	לְנַהֵל
administration	0.625	0.404	0.786	מִנהָל
administrative	0.542	0.415	0.579	מנהלי
administrator	0.538	0.480	0.902	מנהל
admirable	0.929	0.600	0.870	ראוי להערצה
admiral	0.844	0.490	0.847	אַדמִירָל
admiralty	0.594	0.547	0.733	אדמירליות
admiration	0.969	0.583	0.726	הערצה
admire	0.867	0.692	0.704	לְהִתְפַּעֵל
admired	0.917	0.560	0.815	התפעל
admirer	0.796	0.720	0.650	מַעֲרִיץ
admiring	0.867	0.578	0.629	מתפעל
admissibility	0.802	0.580	0.602	קבילות
admissible	0.780	0.528	0.642	קָבִיל
admission	0.802	0.415	0.732	הוֹדָאָה
admit	0.538	0.423	0.667	להתוודות
admittance	0.690	0.451	0.598	קבלה
admitted	0.720	0.490	0.767	הודה
admitting	0.620	0.500	0.546	מודה
admixture	0.450	0.375	0.438	תַעֲרוֹבֶת
admonition	0.357	0.606	0.455	תוֹכֵחָה
ado	0.520	0.423	0.385	מְהוּמָה
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	גיל ההתבגרות
adolescent	0.781	0.680	0.509	מִתבַּגֵר
adopt	0.694	0.612	0.701	לְאַמֵץ
adoption	0.625	0.566	0.589	אימוץ
adoptive	0.531	0.469	0.520	מאמצת
adorable	0.969	0.519	0.457	מקסים
adoration	0.885	0.699	0.708	הַעֲרָצָה
adore	0.854	0.438	0.657	לְהַעֲרִיץ
adoring	0.885	0.620	0.717	מעריץ
adorn	0.910	0.424	0.482	לְקַשֵׁט
adornment	0.918	0.373	0.377	תַכשִׁיט
adrenalin	0.865	0.920	0.786	אַדְרֶנָלִין
adrenaline	0.765	0.965	0.825	אדרנלין
adrift	0.398	0.486	0.230	נִסחָף
adult	0.815	0.491	0.787	מְבוּגָר
adulterated	0.188	0.865	0.370	מָהוּל
adulterer	0.229	0.814	0.407	נוֹאֵף
adultery	0.120	0.922	0.510	ניאוף
adulthood	0.541	0.454	0.652	בַּגרוּת
advance	0.673	0.472	0.858	לְקַדֵם
advanced	0.844	0.623	0.797	מִתקַדֵם
advancement	0.776	0.650	0.839	הִתקַדְמוּת
advancing	0.929	0.608	0.812	מתקדמים
advantage	0.917	0.548	0.859	יתרון
advantageous	0.837	0.640	0.789	מוֹעִיל
advent	0.665	0.560	0.627	הִתגַלוּת
adventure	0.917	0.857	0.710	הַרפַּתקָה
adventurer	0.781	0.839	0.868	הַרפַּתקָן
adventures	0.812	0.764	0.749	הרפתקאות
adventurous	0.969	0.898	0.722	הרפתקני
adversary	0.349	0.777	0.457	יָרִיב
adverse	0.323	0.610	0.385	שְׁלִילִי
adversity	0.276	0.760	0.538	מְצוּקָה
advertise	0.500	0.529	0.580	לְפַרְסֵם
advertisement	0.600	0.566	0.539	פרסומת
advertising	0.622	0.608	0.632	פִּרסוּם
adverts	0.551	0.500	0.595	פרסומות
advice	0.698	0.408	0.688	עֵצָה
advisable	0.867	0.480	0.510	רצוי
advise	0.760	0.393	0.705	לייעץ עצה
advised	0.823	0.330	0.509	יעץ
advisement	0.698	0.235	0.655	ייעוץ
adviser	0.745	0.362	0.705	יוֹעֵץ
advisor	0.646	0.350	0.689	יועץ
advisory	0.656	0.429	0.633	ייעוץ
advocacy	0.500	0.646	0.731	פְּרַקְלִיטוּת
advocate	0.551	0.530	0.818	עוֹרֵך דִין
aegis	0.490	0.439	0.462	אגיס
aeration	0.550	0.500	0.433	אִוְרוּר
aerial	0.615	0.461	0.463	אַנטֶנָה
aerobics	0.708	0.771	0.627	אֶרוֹבִיקָה
aerodrome	0.541	0.740	0.678	שְׂדֵה תְעוּפָה
aerodynamic	0.561	0.724	0.728	אווירודינמי
aerodynamics	0.590	0.663	0.722	אֲוִירוֹדִינָמִיקָה
aeronautics	0.551	0.633	0.688	תוֹרַת הַתְעוּפָה
aeroplane	0.714	0.642	0.644	מטוס
aerospace	0.643	0.520	0.779	תעופה וחלל
aesthetic	0.708	0.442	0.526	אֶסתֵטִי
aesthetics	0.847	0.327	0.549	אֶסתֵטִיקָה
aetiology	0.480	0.398	0.615	אטיולוגיה
afar	0.396	0.373	0.358	רחוק
affable	0.704	0.380	0.452	מַסבִּיר פָּנִים
affair	0.520	0.459	0.657	פָּרָשָׁה
affect	0.458	0.569	0.578	להשפיע
affecting	0.350	0.574	0.394	משפיע
affection	0.898	0.559	0.696	אַהֲבָה
affectionate	0.949	0.422	0.550	מחבב
affections	0.760	0.547	0.655	חיבה
affiche	0.479	0.265	0.402	תצהיר
affidavit	0.469	0.584	0.526	תצהיר
affiliated	0.673	0.519	0.535	מְסוּנָף
affiliation	0.615	0.594	0.500	השתייכות
affinity	0.800	0.500	0.537	זִיקָה
affirm	0.745	0.509	0.731	לְאַשֵׁר
affirmation	0.750	0.500	0.689	חִיוּב
affirmative	0.854	0.589	0.816	חִיוּבִי
affirmatively	0.908	0.500	0.811	בחיוב
affix	0.438	0.335	0.411	לְהַדבִּיק
afflict	0.302	0.555	0.293	לְיַסֵר
afflicted	0.271	0.500	0.167	מְעוּנֶה
affliction	0.294	0.635	0.392	מֶמֶר
affluence	0.663	0.618	0.722	שֶׁפַע
affluent	0.756	0.388	0.477	אָמִיד
afford	0.571	0.580	0.575	לְהַרְשׁוֹת לְעַצמוֹ
affordable	0.840	0.398	0.493	במחיר סביר
affront	0.327	0.740	0.547	עֶלבּוֹן
affronted	0.385	0.750	0.527	נעלבת
afield	0.594	0.370	0.373	רחוק
afire	0.367	0.904	0.675	אש
afloat	0.602	0.427	0.444	צָף
afore	0.500	0.337	0.382	לפני כן
aforementioned	0.490	0.316	0.408	שהוזכר לעיל
aforesaid	0.531	0.358	0.478	לְעֵיל
afraid	0.010	0.775	0.245	חוֹשֵׁשׁ
afresh	0.643	0.521	0.480	מִחָדָשׁ
aft	0.480	0.417	0.518	אחורי
afterlife	0.571	0.567	0.568	שלאחר המוות
aftermath	0.312	0.449	0.444	תוצאות
afternoon	0.533	0.388	0.339	אחרי הצהריים
aftershave	0.406	0.384	0.415	אפטרשייב
aftertaste	0.354	0.362	0.455	טעם לוואי
afterthought	0.396	0.392	0.349	מחשבה שלאחר מכן
aga	0.542	0.327	0.398	aga
agape	0.612	0.529	0.464	פָּעוּר פֶּה
agate	0.540	0.377	0.483	בַּרֶקֶת
age	0.561	0.226	0.498	גיל
aged	0.135	0.365	0.236	זָקֵן
agency	0.460	0.296	0.583	סוֹכְנוּת
agenda	0.531	0.296	0.553	סֵדֶר הַיוֹם
agent	0.480	0.439	0.755	סוֹכֵן
agglomeration	0.450	0.765	0.509	הִצטַבְּרוּת
aggravate	0.224	0.770	0.464	לְהַחרִיף
aggravated	0.079	0.760	0.430	מחמיר
aggravates	0.108	0.778	0.357	מחמיר
aggravating	0.257	0.794	0.640	מַרגִיז
aggravation	0.071	0.784	0.613	הַחמָרָה
aggregate	0.730	0.378	0.556	לְקַבֵּץ
aggregation	0.583	0.517	0.694	צבירה
aggresive	0.059	0.971	0.639	אגרסיבי
aggression	0.094	0.929	0.533	תוֹקפָּנוּת
aggressive	0.125	0.949	0.648	תוֹקפָּנִי
aggressively	0.250	0.926	0.688	באגרסיביות
aggressiveness	0.077	0.913	0.648	תוֹקפָּנוּת
aggressor	0.146	0.948	0.823	תוֹקפָּן
agh	0.260	0.500	0.400	אה
aghast	0.133	0.865	0.464	מזועזעת
aghhh	0.281	0.635	0.243	אההה
agile	0.800	0.657	0.775	זָרִיז
agility	0.720	0.702	0.815	זְרִיזוּת
aging	0.214	0.255	0.284	הְזדַקְנוּת
agitate	0.300	0.796	0.593	לְהַתְסִיס
agitated	0.444	0.882	0.491	נִסעָר
agitation	0.240	0.931	0.447	תסיסה
aglow	0.780	0.510	0.797	לוֹהֵט
agnostic	0.306	0.396	0.574	כּוֹפֵר
ago	0.317	0.280	0.404	לִפנֵי
agonizing	0.083	0.800	0.340	מייסר
agony	0.083	0.775	0.393	יסורים
agoraphobia	0.127	0.712	0.438	בַּעַת חוּץ
agree	0.906	0.260	0.545	לְהַסכִּים
agreeable	0.906	0.500	0.696	נָעִים
agreed	0.797	0.449	0.574	מוסכם
agreeing	0.854	0.480	0.557	מסכים
agreement	0.760	0.440	0.736	הֶסכֵּם
agressive	0.083	0.918	0.751	אגרסיבי
agricultural	0.686	0.321	0.473	חַקלָאִי
agriculture	0.640	0.357	0.465	חַקלָאוּת
aground	0.333	0.340	0.445	עַל שִׂרטוֹן
agua	0.598	0.180	0.436	אגואה
ahead	0.708	0.520	0.673	קָדִימָה
ahhh	0.562	0.517	0.241	אההה
ahhhhhhhh	0.552	0.649	0.288	אההההההה
ahoy	0.500	0.497	0.380	אהה
aid	0.796	0.491	0.541	סיוע
aide	0.724	0.342	0.434	עוֹזֵר
aiding	0.643	0.533	0.569	סיוע
aids	0.561	0.480	0.500	עזרים
ail	0.375	0.434	0.385	ail
ailing	0.094	0.518	0.153	חוֹלָנִי
ailment	0.146	0.734	0.277	חוֹלִי
aim	0.481	0.569	0.567	מַטָרָה
aimless	0.150	0.267	0.183	חֲסַר תַכְלִית
air	0.708	0.163	0.427	אוויר
airbag	0.510	0.402	0.433	כרית אוויר
airborne	0.542	0.519	0.385	מוֹטָס
aircraft	0.646	0.644	0.691	כְּלִי טַיִס
aircraft carrier	0.490	0.740	0.727	נושאת מטוסים
airfield	0.601	0.650	0.645	שדה תעופה
airhead	0.271	0.481	0.276	ראש אוויר
airlift	0.573	0.622	0.642	רַכֶּבֶת אֲוִירִית
airline	0.650	0.482	0.688	חֶברַת תְעוּפָה
airliner	0.667	0.777	0.647	מטוס נוסעים
airlock	0.398	0.520	0.447	מנעול אוויר
airman	0.587	0.716	0.721	איש אוויר
airplane	0.719	0.702	0.708	מטוס
airport	0.729	0.684	0.682	שדה תעופה
airs	0.583	0.196	0.370	עולה לאוויר
airship	0.542	0.472	0.529	ספינת אוויר
airspace	0.562	0.510	0.640	המרחב האווירי
airspeed	0.583	0.780	0.544	מהירות אוויר
airstrip	0.550	0.690	0.649	מַסלוּל הַמרָאָה
airtight	0.479	0.381	0.570	אטום
airway	0.638	0.585	0.482	מַסלוּל טִיסָה
aisle	0.438	0.222	0.283	מַעֲבָר
ait	0.385	0.390	0.402	אייט
ajar	0.460	0.413	0.446	פָּתוּחַ בְּמִקצָת
aka	0.459	0.358	0.351	aka
akin	0.639	0.343	0.523	דומה
alabaster	0.542	0.404	0.445	בַּהַט
alarm	0.241	0.882	0.698	אזעקה
alarm clock	0.542	0.727	0.642	שעון מעורר
alarmed	0.188	0.822	0.492	נבהל
alarming	0.204	0.890	0.585	מדאיג
alas	0.571	0.310	0.279	אבוי
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	אַלבַּטרוֹס
albino	0.500	0.240	0.358	לַבקָן
album	0.635	0.349	0.453	אַלבּוֹם
alchemy	0.541	0.583	0.693	אַלכִּימְיָה
alcohol	0.323	0.667	0.377	כּוֹהֶל
alcoholic	0.153	0.688	0.361	כּוֹהָלִי
alcoholism	0.061	0.779	0.407	כָּהֳלִיוּת
alcove	0.490	0.340	0.356	גוּמחָה
alderman	0.550	0.459	0.691	יושב ראש
ale	0.530	0.450	0.358	בִּירָה
alert	0.479	0.820	0.648	עֵרָנִי
alertness	0.375	0.875	0.750	עֵרָנוּת
alerts	0.337	0.804	0.673	התראות
alfalfa	0.546	0.250	0.311	אַספֶּסֶת
algebra	0.440	0.340	0.565	אַלגֶבּרָה
algebraic	0.531	0.412	0.441	אַלגֶבּרִי
algorithm	0.448	0.394	0.559	אַלגוֹרִיתְם
alias	0.541	0.353	0.333	כינוי
alibi	0.396	0.528	0.556	אַלִיבִּי
alien	0.410	0.615	0.491	חייזר
alienate	0.247	0.500	0.523	לְהַרְחִיק
alienated	0.410	0.423	0.559	מנוכר
alienation	0.378	0.530	0.462	הִתנַכְּרוּת
alight	0.667	0.657	0.605	מוּאָר
align	0.656	0.364	0.627	ליישר
aligned	0.583	0.275	0.553	מיושר
alignment	0.643	0.412	0.683	יישור
alike	0.653	0.173	0.444	דוֹמֶה
alimentation	0.781	0.551	0.602	מזון
alimony	0.612	0.477	0.464	מְזוֹנוֹת
aliquot	0.440	0.310	0.404	aliquot
alive	0.816	0.637	0.731	בחיים
alkali	0.490	0.350	0.408	אַלקָלִי
alkaloids	0.433	0.562	0.402	אלקלואידים
allay	0.417	0.406	0.398	לְהַרְגִיעַ
allegation	0.578	0.578	0.608	האשמה
allege	0.418	0.482	0.587	לטעון
alleged	0.365	0.522	0.520	כִּביָכוֹל
allegiance	0.917	0.398	0.750	אֱמוּנִים
allegorical	0.517	0.558	0.598	אַלֵגוֹרִי
allegory	0.615	0.580	0.509	אַלֵגוֹרִיָה
allegro	0.635	0.627	0.453	אלגרו
allergic	0.135	0.549	0.273	אַלֶרגִי
allergy	0.296	0.606	0.389	אַלֶרגִיָה
alleviate	0.869	0.270	0.528	להקל
alleviation	0.735	0.200	0.491	הֲקָלָה
alley	0.347	0.500	0.355	סִמטָה
alleyway	0.357	0.471	0.382	סמטה
alliance	0.696	0.473	0.769	בְּרִית
allied	0.714	0.245	0.642	בעלות ברית
alligator	0.354	0.704	0.645	תַנִין
allocate	0.673	0.462	0.672	לְהַקְצוֹת
allocation	0.604	0.388	0.679	הַקצָאָה
allot	0.622	0.481	0.616	להקצות
allotment	0.600	0.390	0.640	הַקצָאָה
allow	0.698	0.429	0.538	להתיר
allowable	0.698	0.500	0.561	מותר
allowance	0.673	0.382	0.591	קצבה
allowed	0.730	0.360	0.655	מוּתָר
alloy	0.583	0.443	0.593	סַגסוֹגֶת
allsmiles	0.786	0.528	0.430	כל החיוכים
allure	0.804	0.585	0.686	קֶסֶם
alluring	0.837	0.745	0.843	מפתה
allusion	0.440	0.308	0.462	רֶמֶז
alluvial	0.323	0.490	0.491	סחף
ally	0.792	0.320	0.688	ברית
almanac	0.688	0.190	0.412	אַלְמָנָך
almighty	0.938	0.874	0.958	כל יכול
almond	0.698	0.183	0.314	שקד
aloft	0.771	0.373	0.700	באוויר
aloha	0.698	0.440	0.441	שלום
alone	0.333	0.167	0.216	לבד
alongside	0.458	0.333	0.347	בַּצַד
aloof	0.189	0.423	0.302	מרוחק
aloud	0.458	0.713	0.750	בְּקוֹל רָם
alpha	0.708	0.340	0.755	אלפא
alphabet	0.562	0.204	0.672	אלף בית
alphabetical	0.537	0.296	0.535	אָלֶף בֵּיתִי
alpine	0.594	0.337	0.474	אלפיני
alreadyyyyy	0.592	0.717	0.351	כבריייייי
altar	0.724	0.387	0.635	מִזבֵּחַ
altar boy	0.434	0.206	0.350	נער מזבח
alter	0.333	0.694	0.654	לשנות
alteration	0.167	0.798	0.609	שינוי
altercation	0.170	0.806	0.500	קְטָטָה
altered	0.255	0.765	0.500	השתנה
alternate	0.625	0.363	0.589	לְהַחלִיף
alternating	0.480	0.494	0.542	לסירוגין
alternative	0.628	0.373	0.631	חֲלוּפָה
altimeter	0.615	0.510	0.580	מַד גוֹבָה
altitude	0.708	0.482	0.736	גוֹבַה
alto	0.656	0.404	0.730	אַלט
altogether	0.833	0.324	0.644	לְגַמרֵי
aluminum	0.449	0.280	0.434	אֲלוּמִינְיוּם
alumnus	0.633	0.368	0.422	בּוֹגֵר
alveolar	0.469	0.481	0.367	alveolar
alzheimers	0.194	0.518	0.319	אלצהיימר
amalgam	0.438	0.333	0.510	אֲמַלְגַמָה
amalgamation	0.406	0.470	0.531	הִתמַזְגוּת
amaretto	0.543	0.551	0.375	אמרטו
amass	0.552	0.465	0.465	לִצְבּוֹר
amateur	0.469	0.500	0.409	חוֹבְבָן
amaze	0.896	0.843	0.783	לְהַדהִים
amazed	0.796	0.779	0.533	נדהם
amazedness	0.827	0.872	0.510	השתאות
amazement	0.750	0.800	0.639	הִשׁתָאוּת
amazing	0.906	0.837	0.849	מדהים
